title,date,channel,permalink,first_200_chars
adding coastline foam to the base.material,2025-02-02,tips-tricks,https://discord.com/channels/850913821240983553/851482546100633601/1335697355772792914,adding coastline foam to the base.material Surprisingly easy: just add *Distance Field Output* to Sim.Density in the *WorldSpaceGeneric Material* (see below screenshot)
adding coastline foam to the base.material,2025-02-02,general,https://discord.com/channels/850913821240983553/850913821827792940/1335696945288843284,adding coastline foam to the base.material Surprisingly easy: just add *Distance Field Output* to Sim.Density in the *WorldSpaceGeneric Material* (see below screenshot)
LIVE-2 vs UE6,2026-06-24,general,https://discord.com/channels/850913821240983553/850913821827792940/1519281889095974932,"The plan: yes, I would like to port ninja to UE6 - once UE6 is available. - UE6 preview is scheduled for late 2027 / early 2028 --- so it might be a bit early to start evaluating this 😆 - The architec"
NANITE,2025-06-09,tips-tricks,https://discord.com/channels/850913821240983553/851482546100633601/1381516550426853476,1. a working example: [Discord](https://discord.com/channels/850913821240983553/850922331878588416/1367561893048357025) 2. about the limitations: (A) [Discord](https://discord.com/channels/85091382124
NINJA 2D vs 3D,2025-09-19,general,https://discord.com/channels/850913821240983553/850913821827792940/1418496112469213307,"Very good question 🤓 ! NINJA 2D vs 3D 1. Ninja is a 2D sim. Doing fluidsim in 3D, would be much, much slower. 2. We can make the core 2D data *look* 3D (fake!) on two ways: A. by mapping the sim on a "
NINJA vs UE.5.7,2025-09-24,tips-tricks,https://discord.com/channels/850913821240983553/851482546100633601/1420362681654710393,"I've **tested ninja projects under UE 5.7 Preview**. In general: all good - with minor glitches. It seems, EPIC has changed the way how Heterogeneous Volume coordinates are calculated. This impacts *s"
PCG,2025-09-18,general,https://discord.com/channels/850913821240983553/850913821827792940/1418149816634183721,"🖐️ --- thanks for bringing this up! Brief answer: no PCG (Procedural Content Generation) 1. As I see, the PCG system inside unreal, is a large, compact framework - similar to Niagara (being a large, c"
SEA SURFACE PATTERNS,2026-05-13,general,https://discord.com/channels/850913821240983553/850913821827792940/1504051818198728754,LIVE-2 **SEA SURFACE PATTERNS** In the video I have referenced ( [Discord](https://discord.com/channels/850913821240983553/1319654945254932510/1499349098443178105) ) I am using a combination of these 
SIM AREA SIZE,2025-04-06,tips-tricks,https://discord.com/channels/850913821240983553/851482546100633601/1358539606571614309,"*No limit on sim.area size* ➡️ resolution is the bottleneck (max 4K, but 2K is ideal) So the area size and the resolution determines how much data (""how many pixels"") we have per square-unit. Say, we "
SINKING SHIP SETUP,2026-02-11,general,https://discord.com/channels/850913821240983553/850913821827792940/1471050935349284864,I would suggest using a faux method --- supported by some real fluid sim. 1. The currently available ninjalive 1.9 ([Discord](https://discord.com/channels/850913821240983553/865943662411644928/1460537
UNDERWATER POSTPROCESS SWITCH,2026-03-30,general,https://discord.com/channels/850913821240983553/850913821827792940/1488064378111656066,"SET THREAD: [Discord](https://discord.com/channels/850913821240983553/850913821827792940/1488064378111656066), [Discord](https://discord.com/channels/850913821240983553/850913821827792940/148806547382"
VOLUME USAGE,2026-03-26,general,https://discord.com/channels/850913821240983553/850913821827792940/1486636309714833518,Using different rendering technologies / visualization domains inside Unreal is largely constrained by EPIC engineers: they have designed certain technologies for certain usecases / and they can not (
