"file","title","doc_type","bucket","final_disposition","best_manual_section","best_manual_similarity","best_canon_title","best_canon_similarity","justification"
"activation-volume-vs-interaction-volume.md","ACTIVATION volume vs INTERACTION volume","SET_TOPIC","REDUNDANT","proposed-discard","4.4 Live Actor Components","0.752965","NinjaLive v2 Limitations Descriptor","0.753081","The candidate is a title and a list of topic tags; the substantive technical definitions of Activation Volume and Interaction Volume are fully covered in Canon 2 and 3."
"adding-coastline-foam-to-the-basematerial-1.md","adding coastline foam to the base.material","SET_TOPIC","NOVEL","active","4.10 OutputMaterial Tricks","0.726686","NinjaLive v2 Content Descriptor","0.739568","The canon discusses coastline setups and output materials, but does not mention using a 'Distance Field Output' connected to 'Sim.Density' in a 'WorldSpaceGeneric Material' to create foam."
"adding-coastline-foam-to-the-basematerial.md","adding coastline foam to the base.material","SET_TOPIC","NOVEL","active","4.10 OutputMaterial Tricks","0.726686","NinjaLive v2 Content Descriptor","0.739568","The canon discusses coastline setups and output materials, but does not mention using 'Distance Field Output' connected to 'Sim.Density' in a 'WorldSpaceGeneric Material' to create coastline foam."
"adjusting-snow-or-sand-depth.md","ADJUSTING SNOW (or SAND) DEPTH","SET_TOPIC","NOVEL","active","4.10 OutputMaterial Tricks","0.753368","NinjaLive v2 Content Descriptor","0.776520","The canon mentions Parallax Occlusion Mapping generally, but contains no mention of the specific actor 'NinjaLive_Large_FluidSim', the material 'MI_SnowMaterial_Ground_MultiLayer', or the specific parameters 'AdjustPixelDepthOffset' and 'ParallaxHeight'."
"adjusting-volume-smoke-height.md","ADJUSTING VOLUME SMOKE HEIGHT","SET_TOPIC","PARTIAL","active","11. Volumetrics","0.773552","NinjaLive v2 Content Descriptor","0.777762","The candidate provides specific material names ('MI_VolumeSmoke_DirLit_Noisy_Snow') and exact parameter names ('Extrude', 'ExtrudeSoften') for adjusting smoke height that are not present in the canon excerpts."
"avoid-or-filter-interaction-with-skeletal-meshes.md","AVOID or FILTER INTERACTION WITH SKELETAL MESHES","SET_TOPIC","PARTIAL","active","5.8 Object Pivots and Bones","0.791612","NinjaLive v2 Content Descriptor","0.809645","The candidate introduces specific parameter names for NinjaLiveComponent continuous interaction (/ContinousInteractionInclusiveObjType and /ContinousInteractionBoneNamesExact) that are not present in the provided canon excerpts."
"avoiding-rendertarget-conflict.md","AVOIDING RENDERTARGET CONFLICT","SET_TOPIC","NOVEL","active","11. Volumetrics","0.792456","FluidNinja LIVE-2 Manual","0.792456","The canon excerpts do not cover render target conflict avoidance or the requirement for separate render targets for each NinjaLive container."
"buoyancy.md","BUOYANCY","SET_TOPIC","PARTIAL","active","15.1 Comparison","0.807417","NinjaLive v2 Content Descriptor","0.822381","The canon confirms the 2D nature of the sim and the use of pressure buffers for height-displacement, but it does not mention the specific Niagara-based GPU readback technique (Export/Receive Particle Data) for CPU-side buoyancy."
"cartoony-look.md","CARTOONY LOOK","SET_TOPIC","PARTIAL","active","4.10 OutputMaterial Tricks","0.711249","NinjaLive v2 Content Descriptor","0.717052","While canon mentions 'Detail Flow Mapping', the candidate adds a specific stylistic instruction regarding the use of POWER functions on the density buffer to achieve a 'cartoony look'."
"caustics-vs-ue5.md","CAUSTICS vs UE5","SET_TOPIC","NOVEL","active","14. Limitations and Bugs","0.766308","FluidNinja LIVE-2 Manual","0.766308","The canon contains no mention of a UE5 bug specifically affecting underwater caustics or a corresponding workaround."
"changing-flow-direction-of-world-space-sims.md","CHANGING FLOW DIRECTION OF WORLD-SPACE SIMS","SET_TOPIC","PARTIAL","proposed-scope-reject","4.5 Transforms","0.809381","NinjaLive v2 Content Descriptor","0.813015","The candidate provides a specific workflow for changing flow direction via the preset manager in a 'tile generator simulation', which is not covered in the canon excerpts."
"changing-fluidsim-texture-input.md","CHANGING FLUIDSIM TEXTURE INPUT","SET_TOPIC","PARTIAL","proposed-scope-reject","5.1 Bitmaps","0.831664","NinjaLive v2 Content Descriptor","0.841416","The candidate provides specific step-by-step instructions for using the 'NinjaLive_PresetManager' Actor and its UI to change bitmaps at runtime, which is not detailed in the canon excerpts."
"character-fx-quickstarter.md","CHARACTER FX QUICKSTARTER","SET_TOPIC","PARTIAL","active","1. Introduction","0.775012","NinjaLive v2 Content Descriptor","0.789638","The candidate introduces a specific parameter 'ContinuousInteractionWithOwner' and a requirement to provide 'BONE names' for tracking, neither of which are explicitly detailed in the provided canon excerpts."
"child-actor.md","CHILD ACTOR","SET_TOPIC","PARTIAL","active","2.1 Typical Setups","0.730643","NinjaLive v2 Content Descriptor","0.734760","The canon explains the relationship between Live Actor and Live Component, but it does not explicitly warn against using Ninja as a 'Child Actor' or provide the specific architectural advice to use the Component or parenting instead."
"cloud-rendering.md","CLOUD RENDERING","SET_TOPIC","PARTIAL","proposed-scope-reject","11. Volumetrics","0.761310","NinjaLive v2 Content Descriptor","0.768335","The candidate provides a specific technical failure report regarding the 'Generic Component Renderer' and the inability to bind 'Material' parameters for CVOL in UE 5.7 preview, which is not covered in the canon."
"coastlines-riverbanks.md","COASTLINES, RIVERBANKS","SET_TOPIC","NOVEL","active","14.1 Terrain Flow","0.777060","NinjaLive v2 Content Descriptor","0.800761","The candidate provides specific material-level workarounds (depthfade, global distance fields) and a technical solution for WorldSpace collision masks via Discord links, none of which are mentioned in the canon excerpts."
"collision-points-vs-shapes.md","COLLISION --- POINTS vs SHAPES","SET_TOPIC","PARTIAL","active","4.2 Interaction: Points","0.775763","FluidNinja LIVE-2 Manual","0.775763","The candidate provides specific practical examples (bone counts for pawns/hands) and external video links not present in the canon, although the core technical concepts of point vs. shape (SDF/SceneCapture) are covered."
"complexity.md","COMPLEXITY","SET_TOPIC","PARTIAL","proposed-scope-reject","1. Introduction","0.800349","NinjaLive v2 Content Descriptor","0.813830","While the canon covers internal/external rendering and input sources, the candidate provides a specific structured 'complexity' learning path and maps these concepts to specific tutorial levels and external video links not present in the canon."
"controlling-ninja-in-real-time.md","CONTROLLING NINJA IN REAL TIME","SET_TOPIC","PARTIAL","proposed-scope-reject","13.1 Sequencer","0.837978","FluidNinja LIVE-2 Manual","0.837978","The candidate adds specific practical use-case examples (area FX and character ability FX) and introduces the 'Preset Manager' tool for interactive testing, which are not present in the canon excerpts."
"copy-pasting-ninja.md","COPY-PASTING NINJA","SET_TOPIC","PARTIAL","active","3.4 Adjusting Setups","0.840587","FluidNinja LIVE-2 Manual","0.840587","The candidate adds specific technical warnings about directional light references for 2D raymarching and the need to re-set bone names when copy-pasting, which are not present in the canon."
"custom-tracemesh-vs-overlap-detection.md","CUSTOM TRACEMESH vs OVERLAP DETECTION","SET_TOPIC","NOVEL","proposed-scope-reject","4.4 Live Actor Components","0.756743","NinjaLive v2 Content Descriptor","0.757925","The candidate discusses 'Custom TraceMesh' and specific collision property troubleshooting for StaticMeshes, whereas the canon only covers overlap detection via Class Filters, Tags, and Interaction Volumes."
"defining-custom-sim-area-shape-collision-masking-vs-negative.md","DEFINING CUSTOM SIM AREA SHAPE: COLLISION MASKING vs NEGATIVE BRUSH","SET_TOPIC","PARTIAL","active","14.5 Interaction Volume","0.800573","NinjaLive v2 Limitations Descriptor","0.809006","The candidate provides specific technical implementation details not found in the canon, such as the exact parameter path for CollisionMask (/NinjaLiveComponent /LiveGeneric /CollisionMask) and the specific workflow of using a Scene Capture Camera with a RenderTarget for dynamic masking."
"destructibles.md","DESTRUCTIBLES","SET_TOPIC","NOVEL","proposed-scope-reject","14.7 Bug: Destructibles","0.762985","NinjaLive v2 Limitations Descriptor","0.765046","The candidate claims destructibles are currently not supported due to a CPU/GPU architecture conflict between Ninja and Chaos, whereas the canon explicitly describes multiple supported methods for using Chaos destructibles as simulation input."
